State,Style,beers,beer total for state,beer % overall by state,beer % of overall total,comparisong between state and overall %
IN,Russian Imperial Stout,2,91,2.20%,0.57%,1.63%
IN,Scottish Ale,2,91,2.20%,0.78%,1.41%
IN,Witbier,2,91,2.20%,1.71%,0.49%
MN,American Blonde Ale,1,46,2.17%,4.34%,-2.17%
MN,American Porter,1,46,2.17%,2.78%,-0.60%
MN,California Common / Steam Beer,1,46,2.17%,0.14%,2.03%
MN,English Bitter,1,46,2.17%,0.21%,1.96%
MN,English Brown Ale,1,46,2.17%,0.71%,1.46%
MN,English India Pale Ale (IPA),1,46,2.17%,0.50%,1.68%
MN,Fruit / Vegetable Beer,1,46,2.17%,2.14%,0.04%
MN,Keller Bier / Zwickel Bier,1,46,2.17%,0.21%,1.96%
MN,Milk / Sweet Stout,1,46,2.17%,0.43%,1.75%
MN,Oatmeal Stout,1,46,2.17%,0.78%,1.39%
MN,Pumpkin Ale,1,46,2.17%,0.78%,1.39%
MN,Schwarzbier,1,46,2.17%,0.28%,1.89%
MN,Winter Warmer,1,46,2.17%,0.57%,1.60%
NY,American Black Ale,1,46,2.17%,1.42%,0.75%
NY,American Stout,1,46,2.17%,1.14%,1.04%
NY,American White IPA,1,46,2.17%,0.43%,1.75%
NY,Czech Pilsener,1,46,2.17%,1.14%,1.04%
NY,Euro Dark Lager,1,46,2.17%,0.28%,1.89%
NY,Extra Special / Strong Bitter (ESB),1,46,2.17%,1.00%,1.18%
NY,Fruit / Vegetable Beer,1,46,2.17%,2.14%,0.04%
NY,Gose,1,46,2.17%,0.50%,1.68%
NY,Märzen / Oktoberfest,1,46,2.17%,1.49%,0.68%
NY,Munich Helles Lager,1,46,2.17%,0.85%,1.32%
NY,Pumpkin Ale,1,46,2.17%,0.78%,1.39%
NY,Saison / Farmhouse Ale,1,46,2.17%,1.64%,0.54%
NY,Vienna Lager,1,46,2.17%,1.00%,1.18%
PA,American Adjunct Lager,1,47,2.13%,0.78%,1.34%
PA,American Amber / Red Lager,1,47,2.13%,1.14%,0.99%
PA,American Double / Imperial Pilsner,1,47,2.13%,0.07%,2.06%
PA,American Pale Ale (APA),1,47,2.13%,10.89%,-8.76%
PA,American Pale Wheat Ale,1,47,2.13%,4.34%,-2.21%
PA,American Pilsner,1,47,2.13%,1.00%,1.13%
PA,American Stout,1,47,2.13%,1.14%,0.99%
PA,Belgian Pale Ale,1,47,2.13%,0.57%,1.56%
PA,Belgian Strong Pale Ale,1,47,2.13%,0.14%,1.99%
PA,Doppelbock,1,47,2.13%,0.14%,1.99%
PA,English Brown Ale,1,47,2.13%,0.71%,1.42%
PA,German Pilsener,1,47,2.13%,1.21%,0.92%
PA,Grisette,1,47,2.13%,0.07%,2.06%
PA,Hefeweizen,1,47,2.13%,1.92%,0.21%
PA,Light Lager,1,47,2.13%,0.21%,1.91%
PA,Maibock / Helles Bock,1,47,2.13%,0.14%,1.99%
PA,Märzen / Oktoberfest,1,47,2.13%,1.49%,0.63%
PA,Munich Dunkel Lager,1,47,2.13%,0.21%,1.91%
PA,Munich Helles Lager,1,47,2.13%,0.85%,1.27%
PA,Pumpkin Ale,1,47,2.13%,0.78%,1.34%
PA,Witbier,1,47,2.13%,1.71%,0.42%
CO,American Amber / Red Lager,3,146,2.05%,1.14%,0.92%
CO,American Porter,3,146,2.05%,2.78%,-0.72%
CO,American Strong Ale,3,146,2.05%,0.85%,1.20%
CO,Vienna Lager,3,146,2.05%,1.00%,1.06%
MA,American Blonde Ale,1,51,1.96%,4.34%,-2.38%
MA,American Pale Lager,1,51,1.96%,1.14%,0.82%
MA,American White IPA,1,51,1.96%,0.43%,1.53%
MA,English India Pale Ale (IPA),1,51,1.96%,0.50%,1.46%
MA,English Pale Ale,1,51,1.96%,0.36%,1.60%
MA,German Pilsener,1,51,1.96%,1.21%,0.75%
MA,Herbed / Spiced Beer,1,51,1.96%,0.36%,1.60%
MA,Keller Bier / Zwickel Bier,1,51,1.96%,0.21%,1.75%
MA,Other,1,51,1.96%,0.07%,1.89%
MA,Radler,1,51,1.96%,0.21%,1.75%
MA,Rye Beer,1,51,1.96%,0.64%,1.32%
CA,American Brown Ale,2,135,1.48%,2.70%,-1.22%
CA,American Pale Lager,2,135,1.48%,1.14%,0.34%
CA,Czech Pilsener,2,135,1.48%,1.14%,0.34%
CA,Saison / Farmhouse Ale,2,135,1.48%,1.64%,-0.16%
CO,American Black Ale,2,146,1.37%,1.42%,-0.05%
CO,American Blonde Ale,2,146,1.37%,4.34%,-2.97%
CO,American Stout,2,146,1.37%,1.14%,0.23%
CO,American Wild Ale,2,146,1.37%,0.14%,1.23%
CO,Belgian Pale Ale,2,146,1.37%,0.57%,0.80%
CO,Extra Special / Strong Bitter (ESB),2,146,1.37%,1.00%,0.37%
CO,Saison / Farmhouse Ale,2,146,1.37%,1.64%,-0.27%
CO,Scotch Ale / Wee Heavy,2,146,1.37%,0.93%,0.44%
CO,Witbier,2,146,1.37%,1.71%,-0.34%
OR,American Adjunct Lager,1,87,1.15%,0.78%,0.37%
OR,American Black Ale,1,87,1.15%,1.42%,-0.27%
OR,American White IPA,1,87,1.15%,0.43%,0.72%
OR,Euro Dark Lager,1,87,1.15%,0.28%,0.86%
OR,Kölsch,1,87,1.15%,1.92%,-0.77%
OR,Witbier,1,87,1.15%,1.71%,-0.56%
TX,,1,89,1.12%,0.00%,1.12%
TX,Altbier,1,89,1.12%,0.57%,0.55%
TX,American Adjunct Lager,1,89,1.12%,0.78%,0.34%
TX,American Black Ale,1,89,1.12%,1.42%,-0.30%
TX,American Double / Imperial Stout,1,89,1.12%,0.21%,0.91%
TX,American Pale Wheat Ale,1,89,1.12%,4.34%,-3.22%
TX,American Pilsner,1,89,1.12%,1.00%,0.13%
TX,American Porter,1,89,1.12%,2.78%,-1.65%
TX,American Stout,1,89,1.12%,1.14%,-0.02%
TX,Baltic Porter,1,89,1.12%,0.21%,0.91%
TX,Berliner Weissbier,1,89,1.12%,0.36%,0.77%
TX,Bock,1,89,1.12%,0.21%,0.91%
TX,English Bitter,1,89,1.12%,0.21%,0.91%
TX,English Brown Ale,1,89,1.12%,0.71%,0.41%
TX,English India Pale Ale (IPA),1,89,1.12%,0.50%,0.63%
TX,Foreign / Export Stout,1,89,1.12%,0.21%,0.91%
TX,German Pilsener,1,89,1.12%,1.21%,-0.09%
TX,Gose,1,89,1.12%,0.50%,0.63%
TX,Keller Bier / Zwickel Bier,1,89,1.12%,0.21%,0.91%
TX,Light Lager,1,89,1.12%,0.21%,0.91%
TX,Maibock / Helles Bock,1,89,1.12%,0.14%,0.98%
TX,Märzen / Oktoberfest,1,89,1.12%,1.49%,-0.37%
TX,Munich Dunkel Lager,1,89,1.12%,0.21%,0.91%
TX,Munich Helles Lager,1,89,1.12%,0.85%,0.27%
TX,Old Ale,1,89,1.12%,0.07%,1.05%
TX,Smoked Beer,1,89,1.12%,0.07%,1.05%
IN,Altbier,1,91,1.10%,0.57%,0.53%
IN,American Brown Ale,1,91,1.10%,2.70%,-1.61%
IN,American Dark Wheat Ale,1,91,1.10%,0.36%,0.74%
IN,American Stout,1,91,1.10%,1.14%,-0.04%
IN,Belgian IPA,1,91,1.10%,0.21%,0.89%
IN,Belgian Pale Ale,1,91,1.10%,0.57%,0.53%
IN,California Common / Steam Beer,1,91,1.10%,0.14%,0.96%
IN,Cream Ale,1,91,1.10%,1.28%,-0.18%
IN,Dubbel,1,91,1.10%,0.14%,0.96%
IN,English Dark Mild Ale,1,91,1.10%,0.14%,0.96%
IN,English Stout,1,91,1.10%,0.07%,1.03%
IN,English Strong Ale,1,91,1.10%,0.21%,0.89%
IN,Euro Dark Lager,1,91,1.10%,0.28%,0.81%
IN,Extra Special / Strong Bitter (ESB),1,91,1.10%,1.00%,0.10%
IN,Flanders Oud Bruin,1,91,1.10%,0.07%,1.03%
IN,Irish Dry Stout,1,91,1.10%,0.21%,0.89%
IN,Irish Red Ale,1,91,1.10%,0.57%,0.53%
IN,Kölsch,1,91,1.10%,1.92%,-0.82%
IN,Oatmeal Stout,1,91,1.10%,0.78%,0.32%
IN,Quadrupel (Quad),1,91,1.10%,0.07%,1.03%
IN,Rye Beer,1,91,1.10%,0.64%,0.46%
CA,American Amber / Red Lager,1,135,0.74%,1.14%,-0.40%
CA,American Barleywine,1,135,0.74%,0.14%,0.60%
CA,American Double / Imperial Stout,1,135,0.74%,0.21%,0.53%
CA,American Porter,1,135,0.74%,2.78%,-2.04%
CA,American Stout,1,135,0.74%,1.14%,-0.40%
CA,Belgian Dark Ale,1,135,0.74%,0.21%,0.53%
CA,Belgian IPA,1,135,0.74%,0.21%,0.53%
CA,English Brown Ale,1,135,0.74%,0.71%,0.03%
CA,English Strong Ale,1,135,0.74%,0.21%,0.53%
CA,Gose,1,135,0.74%,0.50%,0.24%
CA,Herbed / Spiced Beer,1,135,0.74%,0.36%,0.38%
CA,Munich Helles Lager,1,135,0.74%,0.85%,-0.11%
CA,Scotch Ale / Wee Heavy,1,135,0.74%,0.93%,-0.18%
CA,Vienna Lager,1,135,0.74%,1.00%,-0.26%
CA,Wheat Ale,1,135,0.74%,0.07%,0.67%
CO,Altbier,1,146,0.68%,0.57%,0.12%
CO,American Brown Ale,1,146,0.68%,2.70%,-2.02%
CO,American Double / Imperial Stout,1,146,0.68%,0.21%,0.47%
CO,American Pilsner,1,146,0.68%,1.00%,-0.31%
CO,American White IPA,1,146,0.68%,0.43%,0.26%
CO,Belgian IPA,1,146,0.68%,0.21%,0.47%
CO,Belgian Strong Dark Ale,1,146,0.68%,0.07%,0.61%
CO,Belgian Strong Pale Ale,1,146,0.68%,0.14%,0.54%
CO,English Bitter,1,146,0.68%,0.21%,0.47%
CO,English India Pale Ale (IPA),1,146,0.68%,0.50%,0.19%
CO,Euro Dark Lager,1,146,0.68%,0.28%,0.40%
CO,Fruit / Vegetable Beer,1,146,0.68%,2.14%,-1.45%
CO,German Pilsener,1,146,0.68%,1.21%,-0.53%
CO,Hefeweizen,1,146,0.68%,1.92%,-1.24%
CO,Irish Red Ale,1,146,0.68%,0.57%,0.12%
CO,Märzen / Oktoberfest,1,146,0.68%,1.49%,-0.81%
CO,Munich Dunkel Lager,1,146,0.68%,0.21%,0.47%
CO,Munich Helles Lager,1,146,0.68%,0.85%,-0.17%
CO,Oatmeal Stout,1,146,0.68%,0.78%,-0.10%
CO,Roggenbier,1,146,0.68%,0.07%,0.61%
